id_school,school_name
1,Harvard University
2,Massachusetts Institute of Technology
3,Stanford University
4,University of Cambridge
5,California Institute of Technology
6,Princeton University
7,University of Oxford
8,Yale University
9,Columbia University
10,"University of California, Berkeley"
11,University of Chicago
12,Cornell University
13,University of Pennsylvania
14,University of Tokyo
15,Johns Hopkins University
16,Swiss Federal Institute of Technology in Zurich
17,Kyoto University
18,Weizmann Institute of Science
19,"University of California, Los Angeles"
20,"University of California, San Diego"
21,Rockefeller University
22,Hebrew University of Jerusalem
23,New York University
24,"University of California, San Francisco"
25,University of Wisconsin–Madison
26,University of Illinois at Urbana–Champaign
27,Duke University
28,Imperial College London
29,University of Texas Southwestern Medical Center
30,University of Texas at Austin
31,University College London
32,Osaka University
33,Northwestern University
34,"University of Michigan, Ann Arbor"
35,University of Toronto
36,University of North Carolina at Chapel Hill
37,Washington University in St. Louis
38,University of Utah
39,University of Washington - Seattle
40,"University of California, Santa Barbara"
41,McGill University
42,"Purdue University, West Lafayette"
43,Carnegie Mellon University
44,University of Southern California
45,"University of California, Davis"
46,University of Colorado Boulder
47,"University of California, Irvine"
48,University of Paris-Sud
49,"University of Minnesota, Twin Cities"
50,University of Arizona
51,Technion – Israel Institute of Technology
52,"Ohio State University, Columbus"
53,University of Rochester
54,École normale supérieure - Paris
55,University of Florida
56,Tel Aviv University
57,Rice University
58,Dartmouth College
59,Vanderbilt University
60,University of Edinburgh
61,École Polytechnique
62,Boston University
63,Pierre-and-Marie-Curie University
64,"Pennsylvania State University, University Park"
65,University of Geneva
66,Brown University
67,University of British Columbia
68,"University of Maryland, College Park"
69,Swiss Federal Institute of Technology in Lausanne
70,Karolinska Institute
71,University of Pittsburgh - Pittsburgh Campus
72,Rutgers University-New Brunswick
73,"Texas A&M University, College Station"
74,Nagoya University
75,Seoul National University
76,University of Manchester
77,Sapienza University of Rome
78,Case Western Reserve University
79,Tohoku University
80,Arizona State University
81,Emory University
82,Ruprecht Karl University of Heidelberg
83,Ludwig Maximilian University of Munich
84,University of Virginia
85,Leiden University
86,Tufts University
87,Georgia Institute of Technology
88,University of Zurich
89,University of Helsinki
90,Technical University of Munich
91,University of Oslo
92,University of Queensland
93,University of Copenhagen
94,University of Sydney
95,Williams College
96,University of Texas MD Anderson Cancer Center
97,University of Nottingham
98,University of Bristol
99,Utrecht University
100,Mines ParisTech
101,Keio University
102,King's College London
103,Indiana University - Bloomington
104,National University of Singapore
105,Stony Brook University
106,Lomonosov Moscow State University
107,Australian National University
108,University of Alberta
109,Paris Diderot University - Paris 7
110,Waseda University
111,Peking University
112,University of Notre Dame
113,National Taiwan University
114,Tsinghua University
115,Kyushu University
116,Katholieke Universiteit Leuven
117,Tokyo Institute of Technology
118,University of Melbourne
119,University of Bonn
120,Royal Institute of Technology
121,Erasmus University Rotterdam
122,Yonsei University
123,Massachusetts Institute of Technology (MIT)
124,University of Washington
125,The Johns Hopkins University
126,University of Wisconsin - Madison
127,The University of Tokyo
128,University of Michigan - Ann Arbor
129,Swiss Federal Institute of Technology Zurich
130,"The Imperial College of Science, Technology and Medicine"
131,University of Illinois at Urbana-Champaign
132,University of Colorado at Boulder
133,The University of Texas at Austin
134,The University of Manchester
135,University of Paris Sud (Paris 11)
136,Pierre and Marie  Curie University - Paris 6
137,Pennsylvania State University - University Park
138,Technical University Munich
139,The University of Texas Southwestern Medical Center at Dallas
140,The University of Edinburgh
141,University of Munich
142,The Hebrew University of Jerusalem
143,University of Pittsburgh
144,"Rutgers, The State University of New Jersey - New Brunswick"
145,Purdue University - West Lafayette
146,University of Heidelberg
147,The Ohio State University - Columbus
148,Uppsala University
149,Ecole Normale Superieure - Paris
150,The Australian National University
151,Moscow State University
152,Arizona State University - Tempe
153,Stockholm University
154,Indiana University Bloomington
155,Aarhus University
156,The University of Queensland
157,University of Goettingen
158,Ghent University
159,McMaster University
160,University of Basel
161,Michigan State University
162,The University of Sheffield
163,Texas A&M University - College Station
164,University of Frankfurt
165,Technion-Israel Institute of Technology
166,The University of Western Australia
167,University of Freiburg
168,University of Groningen
169,University of Strasbourg
170,University of California-Berkeley
171,University of Michigan-Ann Arbor
172,The University of Melbourne
173,Heidelberg University
174,University of Pittsburgh-Pittsburgh Campus
175,"University of California, Santa Cruz"
176,KU Leuven
177,Swiss Federal Institute of Technology Lausanne
178,Texas A & M University
179,VU University Amsterdam
180,University of Paris-Sud (Paris 11)
181,"University of Pittsburgh, Pittsburgh Campus"
182,University of Warwick
183,Texas A&M University
184,ETH Zurich – Swiss Federal Institute of Technology Zurich
185,University of Michigan
186,University of Hong Kong
187,Pohang University of Science and Technology
188,Washington University in St Louis
189,Hong Kong University of Science and Technology
190,École Normale Supérieure
191,University of Göttingen
192,University of Wisconsin
193,École Polytechnique Fédérale de Lausanne
194,University of Science and Technology of China
195,University of Minnesota
196,University of Massachusetts
197,LMU Munich
198,Ohio State University
199,Yeshiva University
200,University of Adelaide
201,William & Mary
202,Trinity College Dublin
203,King’s College London
204,Korea Advanced Institute of Science and Technology (KAIST)
205,University of Sussex
206,University of York
207,Durham University
208,London School of Economics and Political Science
209,"Royal Holloway, University of London"
210,Lund University
211,University of Southampton
212,Wake Forest University
213,University College Dublin
214,George Washington University
215,École Normale Supérieure de Lyon
216,University of Wisconsin-Madison
217,Pennsylvania State University
218,Wageningen University and Research Center
219,"Rutgers, the State University of New Jersey"
220,Pierre and Marie Curie University
221,University of St Andrews
222,University of Amsterdam
223,Purdue University
224,Delft University of Technology
225,University of Montreal
226,University of New South Wales
227,Nanyang Technological University
228,Paris-Sud University
229,Humboldt University of Berlin
230,Monash University
231,Free University of Berlin
232,Maastricht University
233,Scuola Normale Superiore di Pisa
234,Middle East Technical University
235,University of Glasgow
236,University of Tübingen
237,University of Exeter
238,Georgetown University
239,University of Sheffield
240,Queen Mary University of London
