id_school,university_name,world_rank,national_rank,alumni,award,hici,ns,year
1,Harvard University,1,1,100,100,100,100,2011
4,Stanford University,2,2,41.2,78.4,88.4,70.2,2011
819,Massachusetts Institute of Technology (MIT),3,3,72.8,81.9,67.9,70.6,2011
8,"University of California, Berkeley",4,4,68.3,79.3,70,69.5,2011
6,University of Cambridge,5,1,87.1,96.7,54.5,54.1,2011
2,California Institute of Technology,6,5,52.6,68.8,57.3,65,2011
5,Princeton University,7,6,56.7,87.1,62.1,43.8,2011
18,Columbia University,8,7,69.6,67.4,57.1,50.8,2011
12,University of Chicago,9,8,65,83.9,52,40.4,2011
7,University of Oxford,10,2,55.5,57.6,48.9,49.7,2011
10,Yale University,11,9,49.6,44.9,59.5,57.4,2011
11,"University of California, Los Angeles",12,10,30,42.6,57.5,53.1,2011
14,Cornell University,13,11,42,51.1,54.5,48.3,2011
19,University of Pennsylvania,14,12,36.3,34.3,57.7,48.8,2011
32,"University of California, San Diego",15,13,15.6,35.8,61.2,52.4,2011
23,University of Washington,16,14,24.3,31.7,55,51.9,2011
820,"University of California, San Francisco",17,15,0,40.1,53.5,54.2,2011
821,The Johns Hopkins University,18,16,43.2,32.1,42.1,47.9,2011
822,University of Wisconsin - Madison,19,17,35.3,35.4,52,39.7,2011
22,University College London,20,3,32.2,32.1,39.5,46.1,2011
823,The University of Tokyo,21,1,35.3,14.1,42.1,52.7,2011
824,University of Michigan - Ann Arbor,22,18,36.7,0,60.4,45,2011
825,Swiss Federal Institute of Technology Zurich,23,1,33.8,36.1,36.4,43.6,2011
826,"The Imperial College of Science, Technology and Medicine",24,4,16.6,37.2,41.5,39.6,2011
33,University of Illinois at Urbana-Champaign,25,19,34.3,36.5,43.9,38.2,2011
17,University of Toronto,26,1,22.8,19.2,38.9,40.6,2011
57,Kyoto University,27,2,33.8,34.7,39.5,35.5,2011
827,"University of Minnesota, Twin Cities",28,20,30,16.2,51,36.8,2011
60,New York University,29,21,32.2,24.4,42.1,39.4,2011
25,Northwestern University,30,22,17.6,22.1,48.4,37.7,2011
828,Washington University in St. Louis,31,23,21.2,25.9,38.9,42.6,2011
829,University of Colorado at Boulder,32,24,14.4,30.7,39.5,42.2,2011
830,Rockefeller University,33,25,19.5,58.4,28.9,42.5,2011
29,"University of California, Santa Barbara",33,25,16.6,35.1,42.7,34.8,2011
24,Duke University,35,27,17.6,0,47,40.9,2011
831,The University of Texas at Austin,35,27,18.6,16.6,45.6,31.7,2011
30,University of British Columbia,37,2,17.6,18.9,32.3,31.8,2011
832,The University of Manchester,38,5,21.2,33.9,28,27.7,2011
98,"University of Maryland, College Park",38,29,22,19.9,41.5,31,2011
833,University of Paris Sud (Paris 11),40,1,32.2,53.9,16.1,20.3,2011
834,Pierre and Marie  Curie University - Paris 6,41,2,35.4,23.5,25,30.1,2011
31,University of North Carolina at Chapel Hill,42,30,10.2,16.2,39.5,31.8,2011
177,University of Copenhagen,43,1,25,24.1,25.5,26.3,2011
44,Karolinska Institute,44,1,25.6,27.2,32.3,21.3,2011
835,Pennsylvania State University - University Park,45,31,11.8,0,46.2,36.9,2011
74,University of Southern California,46,32,0,26.7,39.5,26.1,2011
836,Technical University Munich,47,1,39.9,23.5,25,21.9,2011
54,"University of California, Davis",48,33,0,0,47.9,33.5,2011
49,"University of California, Irvine",48,33,0,29.3,36.8,25.9,2011
143,Utrecht University,48,1,26.3,20.9,29.8,29,2011
837,The University of Texas Southwestern Medical Center at Dallas,51,35,21.2,33.1,31.5,29.4,2011
51,Vanderbilt University,52,36,17.6,29.5,31.5,22.1,2011
838,The University of Edinburgh,53,6,23.5,16.6,27,34.2,2011
839,University of Munich,54,2,29.4,22.8,16.1,28.2,2011
20,Carnegie Mellon University,55,37,36.3,32.7,30.6,16.4,2011
91,University of Zurich,56,2,5.9,26.7,25.5,29.4,2011
840,The Hebrew University of Jerusalem,57,1,36.7,28.1,25,20,2011
64,University of Pittsburgh,57,38,21.2,0,42.1,24.2,2011
841,"Rutgers, The State University of New Jersey - New Brunswick",59,39,11.8,19.9,39.5,26.5,2011
36,University of Melbourne,60,1,19.5,14.1,25,21.1,2011
842,Purdue University - West Lafayette,61,40,15.6,23.2,29.8,23.8,2011
843,University of Heidelberg,62,3,15.6,27,19.1,24.1,2011
844,The Ohio State University - Columbus,63,41,14.4,0,41.1,26.2,2011
35,McGill University,64,3,31.1,0,32.3,24.2,2011
55,Brown University,65,42,16.6,13.6,32.3,29.5,2011
126,Leiden University,65,2,20.4,15.4,28,22.6,2011
148,Uppsala University,67,2,20.4,32.1,14.4,22.4,2011
845,King's College London,68,7,14.4,23,30.6,17.6,2011
846,Ecole Normale Superieure - Paris,69,3,54.2,24.4,12.5,19.4,2011
847,The Australian National University,70,2,15.6,12.6,33.9,26.3,2011
68,University of Bristol,70,8,8.3,17.8,28.4,29.6,2011
206,University of Florida,72,43,19.5,0,37.5,19.7,2011
118,University of Geneva,73,3,25,28.1,20.4,25.6,2011
102,University of Helsinki,74,1,14.4,17.8,23.9,20.8,2011
221,University of Oslo,75,1,20.4,33.3,17.7,14.9,2011
59,Boston University,76,44,13.2,11.5,29.8,25.8,2011
848,Moscow State University,77,1,47.4,34.1,0,10.1,2011
849,Arizona State University - Tempe,78,45,0,19.9,27,28.8,2011
84,University of Utah,79,46,0,11.5,30.6,27.6,2011
96,University of Arizona,80,47,0,0,29.8,37.1,2011
129,Stockholm University,81,3,24.3,29.5,16.1,19.1,2011
850,Indiana University Bloomington,82,48,11.8,22.7,26,20.5,2011
130,Osaka University,82,3,10.2,0,27,28.2,2011
203,University of Rochester,84,49,28.2,8.9,27,22.8,2011
176,University of Nottingham,85,9,13.2,19.9,23.9,16.3,2011
167,Aarhus University,86,2,13.2,22.1,7.2,24.3,2011
81,The University of Queensland,86,3,14.4,0,20.4,24.4,2011
851,University of Goettingen,86,4,31.1,19.9,16.1,18.9,2011
124,Ghent University,89,1,5.9,15.4,17.7,16.8,2011
93,McMaster University,89,4,14.4,18.9,23.9,16.7,2011
97,University of Basel,89,4,22,17,23.4,18,2011
122,Michigan State University,92,50,10.2,0,36.8,19.5,2011
47,Rice University,93,51,18.6,21.8,21.7,23.2,2011
230,Nagoya University,94,4,25,14.1,16.1,22.4,2011
180,University of Bonn,94,5,17.6,19.9,14.4,23.9,2011
71,University of Sydney,96,4,16.6,0,19.1,19,2011
65,Case Western Reserve University,97,52,34.8,11.5,21.7,16.6,2011
852,The University of Sheffield,97,10,20.4,14.1,21,18.7,2011
132,Tohoku University,97,5,16.6,0,21.7,22.1,2011
853,Texas A&M University - College Station,100,53,0,0,33.9,19.9,2011
854,University of Frankfurt,100,6,34.8,8.9,19.1,19.7,2011
493,Aix-Marseille University,102-150,04-jun,15.6,0,16.1,22.4,2011
855,Baylor College of Medicine,102-150,54-68,0,0,19.1,32.7,2011
856,Catholic University of Leuven,102-150,02-mar,0,0,22.8,16.3,2011
857,Catholic University of Louvain,102-150,02-mar,11.8,13.6,17.7,11.4,2011
61,Emory University,102-150,54-68,0,0,32.3,24.8,2011
27,Georgia Institute of Technology,102-150,54-68,14.4,0,26,22.6,2011
287,Hokkaido University,102-150,06-jul,13.2,16.2,16.1,16.5,2011
86,London School of Economics and Political Science,102-150,nov-15,22.8,16.2,16.1,,2011
89,Lund University,102-150,4,24.3,0,25,17.2,2011
858,Mayo Medical School,102-150,54-68,0,0,25,15.1,2011
115,National Taiwan University,102-150,1,13.2,0,17.7,12.7,2011
34,National University of Singapore,102-150,1,0,0,10.2,16.3,2011
419,Oregon State University,102-150,54-68,11.8,0,27,22.2,2011
211,Radboud University Nijmegen,102-150,03-jun,18.6,0,10.2,17.4,2011
110,Seoul National University,102-150,1,0,0,7.2,14.5,2011
859,Swiss Federal Institute of Technology of Lausanne,102-150,5,0,0,23.9,22.6,2011
860,Technion-Israel Institute of Technology,102-150,02-abr,16.6,23,16.1,13.4,2011
215,Tel Aviv University,102-150,02-abr,0,0,23.9,15.6,2011
861,The University of Georgia,102-150,54-68,0,0,27,21.1,2011
862,The University of Western Australia,102-150,5,15.6,14.1,22.8,13.9,2011
113,Tokyo Institute of Technology,102-150,06-jul,14.4,0,21.7,21.8,2011
53,Tufts University,102-150,54-68,16.6,16.6,22.8,15.1,2011
127,University of Alberta,102-150,05-jun,13.2,0,21.7,19.4,2011
165,University of Amsterdam,102-150,03-jun,5.9,0,19.1,21.1,2011
146,University of Birmingham,102-150,nov-15,21.2,10.9,21.7,16.1,2011
117,"University of California, Riverside",102-150,54-68,14.4,0,27,28.6,2011
69,"University of California, Santa Cruz",102-150,54-68,0,0,28.9,34.3,2011
160,University of Delaware,102-150,54-68,11.8,16.2,22.8,12.7,2011
133,University of Freiburg,102-150,07-oct,21.2,20.9,15.3,21.1,2011
170,University of Groningen,102-150,03-jun,0,19.9,17.7,16.6,2011
863,University of Hawaii at Manoa,102-150,54-68,0,0,26,27.5,2011
134,University of Iowa,102-150,54-68,0,0,30.6,23.9,2011
168,University of Leeds,102-150,nov-15,19.5,0,14.4,21.8,2011
166,University of Liverpool,102-150,nov-15,19.5,15.4,12.5,19.4,2011
864,University of Massachusetts Amherst,102-150,54-68,15.6,0,33.1,16.5,2011
865,University of Massachusetts Medical School - Worcester,102-150,54-68,0,19.9,14.4,28.5,2011
138,University of Montreal,102-150,05-jun,13.2,0,14.4,19,2011
866,University of Muenster,102-150,07-oct,22,15.4,12.5,14.9,2011
867,University of Paris Diderot (Paris 7),102-150,04-jun,15.6,13.8,14.4,22.7,2011
341,University of Pisa,102-150,01-feb,15.6,23.5,16.1,5.2,2011
